step_time,reward,total_stopped,total_wait_time
5.0,0,0,0.0
10.0,1,0,0.0
15.0,2,0,0.0
20.0,3,0,0.0
25.0,5,2,6.0
30.0,4,5,29.0
35.0,3,10,66.0
40.0,-1,9,104.0
45.0,-1,9,132.0
50.0,-2,11,184.0
55.0,0,10,227.0
60.0,-2,10,269.0
65.0,-4,14,326.0
70.0,-5,15,395.0
75.0,-4,14,461.0
80.0,-6,16,537.0
85.0,-5,17,620.0
90.0,-6,18,704.0
95.0,-8,19,795.0
100.0,-8,20,891.0
105.0,-6,20,991.0
110.0,-5,23,1101.0
115.0,-5,26,1226.0
120.0,-7,30,1370.0
125.0,-10,29,1513.0
130.0,-9,27,1634.0
135.0,-8,29,1764.0
140.0,-9,30,1910.0
145.0,-9,32,2066.0
150.0,-10,33,2231.0
155.0,-11,35,2399.0
160.0,-11,37,2583.0
165.0,-13,35,2754.0
170.0,-12,35,2910.0
175.0,-13,37,3088.0
180.0,-14,37,3263.0
185.0,-14,34,3283.0
190.0,-12,31,3145.0
195.0,-15,29,3278.0
200.0,-18,26,3401.0
205.0,-18,31,3540.0
210.0,-17,35,3706.0
215.0,-15,36,3878.0
220.0,-17,40,4064.0
225.0,-18,42,4272.0
230.0,-13,41,4274.0
235.0,-6,38,4074.0
240.0,5,33,4227.0
245.0,14,32,4380.0
250.0,8,33,4342.0
255.0,4,32,4111.0
260.0,1,29,4068.0
265.0,-3,33,4217.0
270.0,-9,36,4388.0
275.0,-14,39,4577.0
280.0,-16,42,4747.0
285.0,-17,43,4893.0
290.0,-19,48,5122.0
295.0,-18,46,5348.0
300.0,-18,46,5572.0
305.0,-17,47,5597.0
310.0,-16,43,5416.0
315.0,-17,35,5398.0
320.0,-18,39,5567.0
325.0,-13,36,5465.0
330.0,-6,35,4884.0
335.0,3,37,5071.0
340.0,13,43,5277.0
345.0,9,50,5512.0
350.0,9,55,5777.0
355.0,4,58,6051.0
360.0,1,62,6350.0
365.0,-11,60,6494.0
370.0,-13,56,6464.0
375.0,-17,57,6743.0
380.0,-19,61,7037.0
385.0,-14,58,7016.0
390.0,-6,51,6445.0
395.0,2,45,6187.0
400.0,10,43,6405.0
405.0,6,47,6632.0
410.0,2,49,6728.0
415.0,2,50,6774.0
420.0,-1,53,7027.0
425.0,-8,52,7009.0
430.0,-8,52,6987.0
435.0,-5,51,6728.0
440.0,8,51,6972.0
445.0,14,52,7049.0
450.0,14,51,6967.0
455.0,10,51,6810.0
460.0,1,56,7063.0
